"path","responsibility","planned_action","status","behavior","validation","remaining_work","validated_version","related_paths","sha256"
"src/java9/java9.iml","待逐文件审查","删除复制源码/元数据，改用锁定Maven依赖","已验证","待建立对应关系","16正常文档+2异常文档差分一致；配置回归及最终JAR隔离加载通过","第三方全库行为不属于项目重写范围","B-vendor-chat","build.gradle.kts:bundledLibraries(org.yaml:snakeyaml:2.6)","DFA77BE0D325836B14F9460D807853D74D0BD30C6228DCF99C14C6E7E1896DC0"
"src/java9/java/Logger.java","待逐文件审查","删除复制源码/元数据，改用锁定Maven依赖","已验证","待建立对应关系","16正常文档+2异常文档差分一致；配置回归及最终JAR隔离加载通过","第三方全库行为不属于项目重写范围","B-vendor-chat","build.gradle.kts:bundledLibraries(org.yaml:snakeyaml:2.6)","46C6A48A4C208B732261CDD105D3964BD5B24D4357535445F43EEC3BD3374005"
"src/main/main.iml","待逐文件审查","审查并按业务链路重构","待审查","待建立对应关系","基线全量编译通过；无行为测试","审查、实施、行为验证","baseline-local-20260914","","FD3CC4B7C8A7FF7177AE2BA8DDA9E2A16272F44A212C130AD3505A4416684F43"
"src/main/java/summary.txt","待逐文件审查","审查并按业务链路重构","待审查","待建立对应关系","基线全量编译通过；无行为测试","审查、实施、行为验证","baseline-local-20260914","","71037EBC1E8547FC8DBFED40C616C8A02C86BB2AD887958B538A71E0EF1FA317"
"src/main/java/architectury_inject_cobblebattle_common_84ada36ed10b422c8f72434287689d99_975769be37621a987f63c430a22318bbedcae101857aebd41972004a7616c977cobblebattlecommon013devjar/PlatformMethods.java","待逐文件审查","审查并按业务链路重构","待审查","待建立对应关系","基线全量编译通过；无行为测试","审查、实施、行为验证","baseline-local-20260914","","F9DD000BDAF4855147E5BFC8D27659C727192A5BA979332FE2D69F4069F77731"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/CobbleBattle.java","待逐文件审查","审查并按业务链路重构","待审查","待建立对应关系","基线全量编译通过；无行为测试","审查、实施、行为验证","baseline-local-20260914","","2941DFC10CB45635E796588644B13685EED6C51F94BE0D813A08661C5F4F90E4"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/account/AuthMode.java","待逐文件审查","审查并按业务链路重构","待审查","待建立对应关系","基线全量编译通过；无行为测试","审查、实施、行为验证","baseline-local-20260914","","7A62FCC11B748F323168927E9A6F185C258A8C383B35BA23E1C7EDC216E48924"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/account/AuthService.java","待逐文件审查","保留公开入口及record，委托Kotlin","待验证","待建立对应关系","账号响应状态2项及消息组装3项通过","真实玩家提交及远端登录/注册联调","B3-account","src/main/kotlin/io/github/rinicesiberia/shadowbattle/account/AccountSessions.kt","F721515C7C97A5F7B5E641FC18DBC1CFA84AB87367A6B0AD3ACF7F7A489F8432"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/api/AccountEvent.java","公开事件接口","审查并按业务链路重构","待审查","待建立对应关系","基线全量编译通过；无行为测试","审查、实施、行为验证","baseline-local-20260914","","107350FEAC46A80C46D2F2FA218CE2AA5C4246E14E2737396D6FCA2DBFC77363"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/api/BattleEndedEvent.java","公开事件接口","审查并按业务链路重构","待审查","待建立对应关系","基线全量编译通过；无行为测试","审查、实施、行为验证","baseline-local-20260914","","E8C9320EBA2960462D14358073EB7091CDA15089011060D7BB126D39B6679B06"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/api/BattleInfo.java","公开事件接口","审查并按业务链路重构","待审查","待建立对应关系","基线全量编译通过；无行为测试","审查、实施、行为验证","baseline-local-20260914","","0C0FBC24AC36FE2551959A4F4A87E5E1BD23657EF351B83754A165AA62A57309"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/api/BattleOutcome.java","公开事件接口","审查并按业务链路重构","待审查","待建立对应关系","基线全量编译通过；无行为测试","审查、实施、行为验证","baseline-local-20260914","","9EBD36CA3652095212B285FF7C407F36D71B426F808A8764E5802326C556279A"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/api/BattleStartedEvent.java","公开事件接口","审查并按业务链路重构","待审查","待建立对应关系","基线全量编译通过；无行为测试","审查、实施、行为验证","baseline-local-20260914","","89FD7413670CE2280D160C57AB3D186FD127A892960DF3090867F763495B36A3"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/api/CobbleBattleApi.java","公开事件接口","审查并按业务链路重构","待审查","待建立对应关系","基线全量编译通过；无行为测试","审查、实施、行为验证","baseline-local-20260914","","52EF25B2419A0C412830EA1D215E64D0050E315803F4284E316F64C2F8C9A3C7"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/api/QueueEvent.java","公开事件接口","审查并按业务链路重构","待审查","待建立对应关系","基线全量编译通过；无行为测试","审查、实施、行为验证","baseline-local-20260914","","B0DF4F4CB2A22FEC9BAEE18991BFD9FE4681444964617FE9127E8754213BDBB0"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/api/ScoreChange.java","公开事件接口","审查并按业务链路重构","待审查","待建立对应关系","基线全量编译通过；无行为测试","审查、实施、行为验证","baseline-local-20260914","","FE24A4D4D6FC28B67ABD2525C99097B8BAA4BC8225216DE2E734874A77D5E3B8"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/api/SpectateEvent.java","公开事件接口","审查并按业务链路重构","待审查","待建立对应关系","基线全量编译通过；无行为测试","审查、实施、行为验证","baseline-local-20260914","","60726B2DE62567D0C06493ED84260BA096EC9296FE357F5349632D057B8BD9D5"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/ApiEvents.java","待逐文件审查","审查并按业务链路重构","待审查","待建立对应关系","基线全量编译通过；无行为测试","审查、实施、行为验证","baseline-local-20260914","","7E59B7BAE2BEA6058EB9DB020AC4A5540D0EC7AE9633C9463D5F3AA10C368885"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/BattleQueue.java","排队、房间请求与兼容入口","保留包级入口，委托Kotlin状态组件","待验证","等待队伍、引用绑定、响应领取、发送失败回收、退出及断线清理","Kotlin状态2项契约及全量32项测试通过","真实远端匹配、玩家断线、房间关闭和服务重连集成验证","B6-queue-state","src/main/kotlin/io/github/rinicesiberia/shadowbattle/battle/QueueReferenceBook.kt","B99F0399912F9E08A313E234D14803C826ABB5035E92388E1C8819228B289422"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/CrossServerBattles.java","待逐文件审查","保留兼容入口，提取Kotlin状态组件","待验证","待建立对应关系","索引/路由/序号8项契约通过","MirrorBattle其余实体/描述信息流程尚未迁移和集成验证","B4-projection","","58A2971F793624DE0CD503CD9B72B7DFA5CEF8FE7B96B659032E33949D333CAE"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/CrossServerBattleService.java","跨服连接、请求路由、匹配与对战协调","按状态域提取Kotlin组件并保留公开入口","进行中","服务请求、房间目录、结束胜负与分数；其余匹配和对战协调","状态组件12项、既有契约及全量54项测试通过","匹配创建、BattleRegistry启动、断线与实体生命周期验证","B4-battle-result","src/main/kotlin/io/github/rinicesiberia/shadowbattle/battle/ServiceRequestLedger.kt;src/main/kotlin/io/github/rinicesiberia/shadowbattle/battle/RoomDirectoryState.kt;src/main/kotlin/io/github/rinicesiberia/shadowbattle/battle/BattleResultProjection.kt","CCB7407B07B6C789D8A94DAE1EA7A2F4AD525CB0875EFABB73E006505A6C32F7"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/EntityBackedRemoteBattleActor.java","待逐文件审查","审查并按业务链路重构","待审查","待建立对应关系","基线全量编译通过；无行为测试","审查、实施、行为验证","baseline-local-20260914","","E835C1A785FF83947A018803B43E99D6FEBFCB1C6068B77F30F8E854E6EAC61E"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/MirrorBattle.java","镜像对战兼容入口、输出解释与实体引用","保留公开ABI，委托Kotlin状态组件","待验证","参与者、座位、观战者、业务描述、实体引用、输出路由与序号缓存","参与者3项、实体容器2项、投影/路由/序号8项、全量48项通过；公开javap签名一致","真实实体生成/清理、Showdown解释、对战启动和结束集成验证","B4-mirror-entities","src/main/kotlin/io/github/rinicesiberia/shadowbattle/battle/MirrorParticipantState.kt;src/main/kotlin/io/github/rinicesiberia/shadowbattle/battle/MirrorEntityRegistry.kt;src/main/kotlin/io/github/rinicesiberia/shadowbattle/battle/SequencedOutputBuffer.kt","46F48FB4AB7B05E19B33D106267058EE1BA23447C22D87DB9DB31D4E56E1D248"
